Title,Developer,Genre,Price,Release Date
Creepy Road - soundtrack,Groovy Milk,Adventure,$1.29 USD,"3 Aug, 2018"
THE E BALL,URUS GAMES,Adventure,$0.90 USD,"1 May, 2018"
Sokoban: The RPG,Mike Daas,Mike Daas,$3.49 USD,"6 Sep, 2018"
Dream Enders RPG,C.A.Withey,Casual,Free,"8 Feb, 2019"
A Rite from the Stars,Risin' Goat,Indie,$6.99 USD,"19 Jul, 2018"
She is Mermaid,COSEN,Indie,$5.89 USD,"8 Sep, 2018"
Rivals of Aether: Arcade Elliana,Dan Fornace,Dan Fornace,$1.89 USD,"16 Oct, 2018"
Duck Life 7: Battle,Wix Games,Casual,$2.49 USD,"13 Aug, 2018"
Zup! Arena,Quiet River,Casual,Free,"20 Dec, 2018"
MMA Team Manager,Alternative Software Ltd,Indie,$10.49 USD,"11 Mar, 2019"
System Shock 2,Nightdive Studios,RPG,$9.99 USD,"11 Aug, 1999"
BattleBlade,Roxra,Adventure,$2.49 USD,"31 Aug, 2018"
Football Director 2019,Sports Director Ltd,Indie,$2.49 USD,"14 Dec, 2018"
N1RV Ann-A: Cyberpunk Bartender Action,Sukeban Games,Sukeban Games,Free,To be announced
HALF DEAD 2,Room710Games,Adventure,Free,"2 Aug, 2019"
City Blocks,Dyrnwyn Games,Indie,Free,Coming soon
Land of Puzzles: Castles,Ripknot Systems,Indie,$4.99 USD,"15 Aug, 2018"
Gladiabots - Optimization Pack,GFX47,Simulation,$5.49 USD,"9 Aug, 2018"
Welcome to Princeland,Eren Aydin,Adventure,$2.99 USD,"9 Nov, 2018"
Copy Kitty OST,Nuclear Strawberry,Indie,$2.49 USD,"13 Aug, 2018"
Swarm Simulator: Evolution,Scary Bee LLC,Free To Play,Free To Play,"25 Feb, 2019"
Wet Warfare,Hellmade Games,Casual,$1.29 USD,"28 Sep, 2018"
Key Of Impasse,Vanl,Indie,$1.29 USD,"5 Sep, 2018"
Fantasy Grounds - A05: Winterflower (Savage Worlds),"SmiteWorks USA, LLC",RPG,$3.99 USD,"9 Aug, 2018"
Shadow Fencer Theatre,ShuddaHaddaLottaFun,Casual,$6.99 USD,"25 Jun, 2019"
Dojini,BajoGames,Adventure,Free,"31 Aug, 2018"
Pro Office Calculator,Rob Jinman,Indie,Free,"19 Jul, 2018"
Dear Home,Growing Seed Games,Indie,$2.99 USD,"1 Oct, 2020"
Test Subject 901,SpinVR.ca,Strategy,Free To Play,"11 Sep, 2018"
Boom Bits,Naughty Children at Play,Indie,$5.49 USD,"14 Sep, 2018"
Boons Farm,WoahStudiosus,Casual,$0.90 USD,"16 Aug, 2018"
Cadria Item Shop - Blessing of Gods,Orange Cat Studio,Free To Play,$6.19 USD,"23 Aug, 2018"
Cadria Item Shop - Business Pass,Orange Cat Studio,Free To Play,$5.49 USD,"23 Aug, 2018"
Russian Subway Dogs - Soundtrack,Spooky Squid Games Inc.,Indie,$2.99 USD,"2 Aug, 2018"
Surge,MatchBox Studio,MatchBox Studio,$1.29 USD,"24 Aug, 2018"
Mist Survival,Dimension 32 Entertainment,Adventure,$5.89 USD,"15 Aug, 2018"
Supaplex THINK!,InArcade,Casual,$5.49 USD,"18 Sep, 2018"
Wolf: The Evolution Story,Foxie Ventures,Adventure,$6.99 USD,"21 Aug, 2018"
Skybox Painter 3D,Toastar Virtual Entertainment,Photo Editing,$5.49 USD,"10 Sep, 2018"
Supaplex WOW!,InArcade,Casual,$6.99 USD,"20 Sep, 2018"
Me Smart Orc,Bill Ricardi,Indie,Free,"28 Aug, 2018"
Bot Rods,Holy Cow Productions,Indie,Free,To be announced
WORLD OF HORROR,panstasz,RPG,$8.19 USD,"19 Oct, 2023"
Alchemic Cutie,Vakio,Casual,$8.19 USD,"11 Nov, 2021"
Dangerous Lands - Magic and RPG,Sabrina Aridi,Adventure,$9.99 USD,"11 Feb, 2020"
Fishing: Barents Sea - Line and Net Ships,Misc Games,Misc Games,$3.99 USD,"9 Aug, 2018"
Pentaquin: Deeds Of Twilight,Terovania,Adventure,$4.49 USD,Coming soon
Hiveswap Friendsim - Volume Nine,"What Pumpkin Games, Inc.",Casual,Free,"3 Aug, 2018"
MMA Simulator,Zever Games,Simulation,$1.89 USD,"17 Sep, 2018"
NEW LIFE,Denside Studios,Indie,$6.19 USD,"12 Aug, 2019"
Unexplored The Dark Ritual,Ludomotion,Adventure,Free,"31 Jul, 2018"
Slime Age: Parody MMORPG Clicker,Andrew Chuprina,Simulation,$0.90 USD,"22 Aug, 2018"
Nightmare Of Melanie,不公开,Casual,$2.99 USD,"15 Aug, 2018"
LO-OP OST,Paleno Games,Casual,$0.90 USD,"5 Oct, 2018"
Plastic soldiers,CBC Games,Indie,$2.99 USD,"16 Nov, 2018"
103,Dystopia Interactive,Casual,$2.99 USD,"21 Dec, 2018"
UNDER NIGHT IN-BIRTH ExeLate[st] - Round Call All Characters,FRENCH-BREAD,FRENCH-BREAD,$10.49 USD,"20 Aug, 2018"
Train Station Renovation,Live Motion Games,Indie,$7.99 USD,"1 Oct, 2020"
Gibbous -  A Cthulhu Adventure,Stuck In Attic,Indie,$8.19 USD,"7 Aug, 2019"
Tiny Battle Simulator,vidiludi games and entertainment,Adventure,$2.99 USD,"10 Sep, 2018"
Mummy on the run,Game Alchemists,Adventure,$4.49 USD,"25 Sep, 2018"
Shoemaker,Racing Bros,Simulation,$0.90 USD,"15 Oct, 2018"
Shadow Unit - GOD OF WAR EDITION,Field55 Studios,Free To Play,Free,Coming soon
GIRAL,aburasobabiyori,Indie,$1.89 USD,"4 Sep, 2018"
Boundless - Deluxe Edition Upgrade,Wonderstruck,Adventure,$6.49 USD,"11 Sep, 2018"
Aircraft Evolution - Skins for aircrafts,Satur Entertainment,Casual,$1.29 USD,"15 Aug, 2018"
ICE AGENT,Racing Bros,Simulation,$0.90 USD,"9 Oct, 2018"
LetsGal,Horo Games,Indie,Free,"1 Sep, 2020"
CatCatch,HouseLife,Indie,$1.29 USD,"3 Sep, 2018"
Hentai Dojo,RewindApp,Indie,Free,"24 Aug, 2018"
Battle royale simulator,WhackAKey Games,Simulation,$0.90 USD,"24 Aug, 2018"
Mimic,Mimic,Mimic,$0.90 USD,"28 Jul, 2018"
Pranky Cat,FastGame,Casual,$5.49 USD,"20 Nov, 2018"
Victoria,VIS-Games,Indie,$5.49 USD,"1 Jan, 2019"
The Spy Who Shrunk Me - Original Soundtrack,Catland,Catland,Free,"18 Dec, 2023"
The Devil's Womb,Yumero the Taleteller,Free To Play,Free,"10 Sep, 2019"
We Are Terror: The First Days,Kuzcopia,Kuzcopia,Free To Play,"1 Sep, 2018"
Pro Strategy Football 2019,Kerry Batts,Simulation,Free,"28 Aug, 2018"
The Colony,Rusty Swain,Strategy,Free To Play,"28 Jul, 2018"
CaveDare,KingsWorths,Adventure,$2.99 USD,"6 Aug, 2018"
The Odd Battle,Blue Palm Studio,Indie,$2.49 USD,"24 Aug, 2018"
Mahjongg The Ultimate Collection 2,Gunnar Games,Gunnar Games,$3.49 USD,"13 Aug, 2018"
I wanna be the Creator,Aikesi,Adventure,$3.49 USD,"15 Nov, 2019"
Prank Masters ~ Otome Visual Novel,Lockvia Studios,Simulation,$2.99 USD,"2 Jun, 2018"
TripTrip - Official Soundtrack,About Airplane LLC,Indie,$0.90 USD,"16 Aug, 2018"
Dimension Drifter,BlueEagle Productions,Adventure,$6.49 USD,"27 Sep, 2018"
Prank Masters ~ Otome Visual Novel,Lockvia Studios,Simulation,$2.99 USD,"2 Jun, 2018"
Cave under Richmordnom,Drymir,Indie,$0.90 USD,"23 Aug, 2018"
Galactic Lander,ZeroByter Games,ZeroByter Games,Free,"4 Oct, 2018"
"Paper Shakespeare: Stick Julius Caesar, Charity Pack: Halloween",Stegalosaurus Game Development,Indie,$0.90 USD,"29 Oct, 2018"
Paper Shakespeare: Stick Julius Caesar: War on Xmas,Stegalosaurus Game Development,Indie,Free,"11 Dec, 2018"
Shadow Unit - Mercendary Edition,Warmongers Studios,Free To Play,Free,Coming soon
Supaplex GO!,InArcade,Casual,$6.99 USD,"31 Aug, 2018"
The Rabbit and The Owl - Original Soundtrack,"Formal Sheep, LLC","Formal Sheep, LLC",$2.99 USD,"3 Aug, 2018"
Time Traveling Raptors,Reverse Gravity,Adventure,Free,Coming soon
San Camillo II,LUZSTARDOM,Indie,$0.90 USD,"1 Oct, 2018"
Survive in Angaria 2,Cloaz Studio,Casual,$1.29 USD,"21 Aug, 2018"
Sargon's Lair,Alexander Guo,Adventure,Free,"5 Sep, 2018"
Meteor,Nidal alshawwaf,Adventure,$1.89 USD,"8 Sep, 2018"
Gamble of Gods,Mighty Papaya,Adventure,Free,"9 Nov, 2018"
Empires Apart - Arab Civilization Pack,DESTINYbit,DESTINYbit,Free,"16 Oct, 2018"
Empires Apart - Chinese Civilization Pack,DESTINYbit,DESTINYbit,Free,"16 Oct, 2018"
Empires Apart - Aztec Civilization Pack,DESTINYbit,DESTINYbit,Free,"16 Oct, 2018"
Empires Apart - Korean Civilization Pack,DESTINYbit,DESTINYbit,Free,"16 Oct, 2018"
Empires Apart - Mongol Civilization Pack,DESTINYbit,DESTINYbit,Free,"16 Oct, 2018"
V-Aria,FreshFX Media Gmbh,Video Production,Free To Play,"27 Jul, 2018"
The End of the Sun,The End of the Sun Team,Casual,Free,Q4 2024
Malzbie's Pinball Collection - Playground,Malzbie Games,Free To Play,$0.90 USD,"26 Nov, 2018"
Bunker Defense,Goodvole,Goodvole,$8.49 USD,"14 Oct, 2020"
World of Virtual Reality VR,Shadowless Gaming,Adventure,$1.29 USD,"11 May, 2019"
AstroViking - Soundtrack,Artii Games LLC,Indie,$0.90 USD,"10 Aug, 2018"
SMUSH.TV - Competitive VR x PC Action,Cyberian Studios,Casual,$5.49 USD,"27 Feb, 2020"
Nanoui,Phoesion,Adventure,$3.99 USD,"21 Mar, 2018"
PlatBall,Kimi Karri,Kimi Karri,$0.90 USD,"14 Aug, 2018"
Sheepageddon,Sander Juss,Casual,$0.90 USD,"23 Aug, 2018"
Your Dry Delight,Argent Games,Free To Play,Free,"17 Aug, 2018"
Jet Lancer,Code Wakers,Indie,Free,"12 May, 2020"
Desktop Tree,utStudio,Indie,$0.90 USD,"18 Sep, 2018"
RED: Lucid Nightmare,Bolder Games,Bolder Games,$1.29 USD,"9 Oct, 2018"
Rogue Party,Chris Antoni,Adventure,$1.29 USD,"14 Sep, 2018"
The Magician's Burden,Hosted Games,Indie,$3.49 USD,"16 Aug, 2018"
Cat Inside,SilverBlade,Casual,$1.29 USD,"17 Aug, 2018"
Fantasy Girl Puzzle,Paradox White Cat,Indie,$0.90 USD,"25 May, 2019"
茉莉之夏 Jasmine Summer,JasmineSummer Project,Indie,Free,"28 Dec, 2018"
Hentai IQ Puzzle,AFBIK Studio,Casual,$0.90 USD,"8 Sep, 2018"
"Fantasy Grounds - Odds & Ends, Volume 7 (Token Pack)","SmiteWorks USA, LLC",RPG,$4.99 USD,"9 Aug, 2018"
Achievement Collector: Cat,QUIKIN Games,Adventure,$0.99 USD,"6 Sep, 2018"
Gallery One,Tim Rachor,Tim Rachor,Free,"10 Aug, 2018"
Simplex Mundi,PixelKiln,Adventure,Free,"9 Sep, 2018"
Jimmy and the Pulsating Mass - Official Soundtrack,Kasey Ozymy,RPG,$2.99 USD,"7 Aug, 2018"
Tabletop Adventures,Almighty Games,Indie,Free,To be announced
WunderDazzlingWallp,GiBar,Adventure,$0.90 USD,"27 Jul, 2018"
WunderAwesomeSound,GiBar,Adventure,$0.90 USD,"27 Jul, 2018"
Die In The Dark,Side B Gaming,Indie,$0.90 USD,"20 Jul, 2018"
JETPACK WARRIOR VR,"BCCON Co., Ltd.",Adventure,Free,September 2018
Garrison Gauntlet,Ryan Silberman,Indie,$0.90 USD,"17 Aug, 2018"
Dismantle: Construct Carnage,Great Helm,Indie,$6.19 USD,"13 Feb, 2019"
Submorse,Team Monumental,Free To Play,Free To Play,"31 Mar, 2021"
It's a Trap,Renan Reis,Adventure,$8.19 USD,"13 Mar, 2019"
YU-NO: A girl who chants love at the bound of this world,MAGES. Inc.,MAGES. Inc.,$15.99 USD,"1 Oct, 2019"
Fire Pro Wrestling World - New Japan Pro-Wrestling Collaboration,"Spike Chunsoft Co., Ltd.",Sports,$8.19 USD,"26 Sep, 2018"
Star Traders: Frontiers Soundtrack,Trese Brothers,Trese Brothers,$1.89 USD,"31 Jul, 2018"
Poltergeist Treasure,Stand Off Software,Indie,$2.99 USD,"4 Oct, 2018"
Monster Hunter: World Original Soundtrack,"CAPCOM CO., LTD.","CAPCOM CO., LTD.",$24.99 USD,"14 Feb, 2018"
Oh Ship Arena,Kelkosoft LLC,Kelkosoft LLC,$0.90 USD,"5 Sep, 2018"
PROZE: Prologue,SignSine,Adventure,Free,"30 Aug, 2018"
Savage Vessels,KPas,Indie,$6.49 USD,"1 Mar, 2020"
Tiger Fighter 1931,TigerQiuQiu,Indie,Free To Play,"15 Aug, 2018"
BEAUTIFUL DESOLATION,THE BROTHERHOOD,Indie,$6.49 USD,"26 Feb, 2020"
RAZ,Team.WM,Indie,$0.90 USD,"13 Sep, 2018"
The path to domination,Seaborgium Entertainment,RPG,Free,"29 Aug, 2018"
Dystopia,BIG BOYS STUDIO,Indie,Free,"17 Aug, 2018"
Time Carnage,Wales Interactive,Indie,$6.49 USD,"12 Sep, 2018"
Welcome Above,Framefield GmbH,Indie,$4.99 USD,"14 Dec, 2018"
Adome,Timsea Studios,Adventure,Free,Coming soon
Torn Asunder,Farhan Qureshi,Indie,Free,Coming soon
校园恋物语|Love in School - Artbook DLC,樱,RPG,$0.90 USD,"30 Jul, 2018"
Caramba!,Russian Pirates,Casual,$0.90 USD,"14 Aug, 2018"
BATTLETECH Flashpoint,Harebrained Schemes,Adventure,$13.49 USD,"27 Nov, 2018"
Fruit Tower Defense,Fratboy Entertainment,Casual,$2.49 USD,"25 Jul, 2018"
Origami Flight,Whalesoft Entertainment,Indie,$2.99 USD,"1 Apr, 2019"
Last Byte Standing Digital Deluxe,RDLabs sp. z o.o. sp.k.,Indie,$6.99 USD,"30 Jul, 2018"
Mike goes on hike,Arkuda Inc.,Indie,Free,Coming soon
DESERT KILL,Megame LLC,Indie,$2.99 USD,"17 Apr, 2019"
Riscord,Rad Sheep Studios,Casual,Free,Coming soon
Saturnine,Dominik Michalke,Indie,$0.90 USD,"7 Oct, 2018"
Ashley Clark: The Secrets of the Ancient Temple,N-Tri Studio,Casual,$5.49 USD,"29 Jun, 2015"
Fantasy Grounds - A17: Haunting at Rybalka Lodge (5E),"SmiteWorks USA, LLC",RPG,$3.99 USD,"9 Aug, 2018"
SpaceBall in Cube,Enum,Indie,$5.49 USD,"26 Aug, 2018"
Kz NTools : Fix Your Network,Kz Software,Kz Software,$3.99 USD,"25 Jul, 2018"
TimeOver,Lambert Enzo,Adventure,$3.49 USD,"21 Mar, 2019"
BULLETGROUNDS,Cold Coffee Studios,Casual,Free,Coming soon
Assassin's Creed® III Remastered,Ubisoft Entertainment,Adventure,Free,"29 Mar, 2019"
Terra Incognito - Antarctica 1911,Every Single Soldier,Every Single Soldier,$1.29 USD,"18 Mar, 2020"
Good Company,Chasing Carrots,Simulation,$8.49 USD,"21 Jun, 2022"
Intelligence: Cats - OST,Laush Dmitriy Sergeevich,Laush Dmitriy Sergeevich,Free,"13 Aug, 2018"
GoFetch,Digital Dog Games,Casual,$2.49 USD,"10 Aug, 2018"
Evemnesis,CloudScapeGT,CloudScapeGT,Free,"15 Aug, 2018"
Hello Pollution! Original Soundtrack,Steady Mushroom Ltd.,Indie,$1.29 USD,"7 Aug, 2018"
Fantasy Grounds - Starfinder RPG - Against the Aeon Throne AP 1: The Reach of Empire (SFRPG),"SmiteWorks USA, LLC",RPG,$8.49 USD,"30 Aug, 2018"
Antox vs. Free Radicals,Greenlynx,Adventure,$0.90 USD,"13 Nov, 2018"
One More Roll,PapayaDev,Casual,$6.19 USD,"2 Nov, 2018"
Paws and Soul,ELECTROSTALIN ENTERTAINMENT,Indie,$6.19 USD,"16 Jul, 2020"
The Walking Dead: The Final Season,Telltale Games,Telltale Games,$8.19 USD,"14 Aug, 2018"
Din's Legacy,Soldak Entertainment,Indie,$8.19 USD,"28 Aug, 2019"
The Banner Saga 3 - Survival Mode,Stoic,RPG,$4.99 USD,"25 Sep, 2018"
Guacamelee! 2 - Soundtrack,DrinkBox Studios,Adventure,$3.99 USD,"21 Aug, 2018"
Audio Infection,RaafOritme,Casual,Free To Play,"30 Nov, 2018"
Unexpected Circumstances,Vitali Stsiapko,Casual,$0.90 USD,"26 Jul, 2018"
Ducks and Gooobers,Sluggishtacogames,Indie,$0.90 USD,"17 Aug, 2018"
ChromaSquares,Racing Thought Studios,Indie,$4.99 USD,"14 Sep, 2018"
REZ PLZ,Long Neck Games,Adventure,Free,"15 Jul, 2020"
The Orphaned Soul,SimProse Studios,Casual,$2.49 USD,"17 Sep, 2018"
Fruit Tower Defense,Fratboy Entertainment,Casual,$2.49 USD,"25 Jul, 2018"
Rebel Galaxy Outlaw,Double Damage Games,Adventure,$10.49 USD,"22 Sep, 2020"
Shining Song Starnova - Vocal Collection,Love in Space,Love in Space,$5.49 USD,"13 Sep, 2018"
Mad Tower Tycoon,Eggcode,Simulation,$6.99 USD,"14 Jan, 2020"
The Complete Halfquake Trilogy Soundtrack,Philipp Lehner,Adventure,Free,"5 Oct, 2018"
Behind The Death Scenes,Philipp Lehner,Adventure,$1.29 USD,"5 Oct, 2018"
Darken VR,Shaftesbury Darken Digital Inc.,Shaftesbury Darken Digital Inc.,$0.90 USD,"13 Aug, 2018"
Map Source Files,Philipp Lehner,Adventure,Free,"5 Oct, 2018"
Rocket League® - Hot Wheels® Triple Threat DLC Pack,"Psyonix, Inc.",Indie,Free,"24 Sep, 2018"
Hungry Planet,Brick by Brick Games,Free To Play,Free,Coming soon
Urban Lockdown,Thatcher Productions,Adventure,$5.49 USD,"15 Aug, 2018"
The Banner Saga 3 - Deluxe Items,Stoic,RPG,$0.90 USD,"26 Jul, 2018"
Holiday Escape,Kit Gardner,Casual,Free,"18 Aug, 2018"
Bunny - The Horror Game,Bunny,Bunny,$1.89 USD,"28 Aug, 2018"
Farplane Relic,Nicey Game,Adventure,$5.49 USD,"17 Oct, 2018"
Shadow: Treachery cannot be tolerated-episode 3: the price you pay,Riad Arifin,Adventure,Free To Play,"2 Aug, 2018"
Ne no Kami - The Two Princess Knights of Kyoto Original Soundtrack,Kuro Irodoru Yomiji,Casual,$5.49 USD,"6 Aug, 2018"
Memetown USA,Josh Moody,Casual,$2.99 USD,"30 Aug, 2018"
Yumori Forest,TERA14,Indie,$2.49 USD,"14 Sep, 2018"
Veccol,Granmust Games,Indie,$1.29 USD,"9 Nov, 2018"
Puzzle Monarch: Vampires,Ripknot Systems,Indie,$4.99 USD,"9 Aug, 2018"
Lost Letters (of Seraphina),Wicked Alley,Casual,$2.49 USD,"31 Oct, 2018"
Petoons Party,Petoons Studio,Adventure,$5.49 USD,"30 Apr, 2019"
King of my Castle VR,Creartstudio,Adventure,$0.90 USD,"24 Aug, 2018"
Dusk Diver 酉閃町,WANIN International,Adventure,$18.89 USD,"23 Oct, 2019"
Super Streaker Plus,Rice and Pixel Ltd,Indie,$1.29 USD,"31 Aug, 2018"
Running Man 3D,GGaming,Indie,$0.90 USD,"21 Aug, 2018"
The Bond,Axis Studios,Axis Studios,Free,"30 Oct, 2018"
Dinosaur Hunter VR,Gooners Game,Adventure,$1.89 USD,"30 Aug, 2018"
Prehistoria,Historajzer,Indie,$1.89 USD,"9 Aug, 2018"
Red and the Deadly Sins,"Diantong Intelligence Tech. Shanghai Co.,Ltd.",Adventure,$4.49 USD,"15 May, 2019"
CoreOptimizer,Nincent,Nincent,$5.49 USD,"16 Oct, 2018"
Intelligence: Cats,Laush Dmitriy Sergeevich,Laush Dmitriy Sergeevich,$0.45 USD,"11 Aug, 2018"
Stay or Leave / 留离,Silence Game,Adventure,$1.29 USD,"17 Aug, 2018"
Mio Garden,Nice Shoes,Indie,$1.89 USD,"5 Oct, 2018"
Juliantli Soundtrack,stardust.ch,Indie,$0.90 USD,"31 Aug, 2018"
Brick Breaker with Risa,Cold-Dark Software™,Casual,$2.99 USD,"10 Aug, 2018"
The War of the Worlds: Andromeda,Mediamas Europa,Indie,$0.90 USD,"12 Oct, 2018"
Rocket of Whispers: Prologue,SIGONO INC.,Indie,Free,"12 Sep, 2018"
Warhammer Quest 2: The End Times,Perchang,Strategy,$8.19 USD,"30 Jan, 2019"
Killsquad,Novarama,Indie,$10.49 USD,"16 Jul, 2019"
Backworlds,Logic Ember Limited,Logic Ember Limited,Free,"20 Feb, 2020"
Goalkeeper Legend,Gooners Game,Indie,$2.49 USD,"17 Aug, 2018"
Moon River,Cerdeira Guillaume,Casual,$2.49 USD,"7 Jan, 2019"
Strange Brigade - Dashing Outfits Pack,Rebellion,Adventure,Free,"27 Aug, 2018"
The Eerie Inn VR,Historajzer,Indie,$2.99 USD,"23 Aug, 2018"
Supaplex SQUARES,InArcade,Casual,Free,"21 Aug, 2018"
Arcade Spirits,Fiction Factory Games,Fiction Factory Games,Arcade Spirits Demo,"12 Feb, 2019"
Fantasy Grounds - A12: When the Ship Goes Down (5E),"SmiteWorks USA, LLC",RPG,$3.99 USD,"31 Jul, 2018"
Grimmwood - Supporter Pack,Big Moustache Games,Strategy,Free,"25 Sep, 2018"
Fantasy Grounds - Monstrous Lair #3: Ogre Cave (Map Pack),"SmiteWorks USA, LLC",RPG,$1.29 USD,"31 Jul, 2018"
Thy Knights Of Climbalot,DesuAscenditur,Racing,$6.19 USD,"28 Sep, 2018"
Shudder,Saberphrog,Saberphrog,$0.90 USD,"30 Aug, 2018"
Deep Space Classic - Admiral's Edition,Bondo Games,Free To Play,$6.99 USD,"1 Aug, 2018"
Deep Space Classic - Spacefleet Edition,Bondo Games,Free To Play,$2.99 USD,"1 Aug, 2018"
Space Break,Dhause,Dhause,$1.29 USD,"12 Aug, 2018"
Solid Aether,FAL Works,Indie,$3.99 USD,"27 Sep, 2018"
Slay The Dragon,ByteErrsLots Games,RPG,$1.89 USD,"22 Aug, 2018"
Battle Species,TeeKoo Games Ltd,Casual,$2.49 USD,"11 Oct, 2018"
KOPICS,OCTET,OCTET,Free,"31 Jan, 2018"
Shining Song Starnova - Original Soundtrack,Love in Space,Love in Space,$5.49 USD,"13 Sep, 2018"
"Fantasy Grounds - Moderns, Volume 3 (Token Packs)","SmiteWorks USA, LLC",RPG,$5.49 USD,"31 Jul, 2018"
Tech Corp.,Mardonpol Inc.,Indie,$5.49 USD,"25 Jul, 2019"
Coral Compass: Fighting Climate Change in Palau,Tobin Asher,Tobin Asher,Free,"16 Aug, 2018"
Fantasy Grounds - A16: Midwinter’s Chill (5E),"SmiteWorks USA, LLC",RPG,$3.99 USD,"9 Aug, 2018"
Roving in the Dark,Hayo van Reek,Hayo van Reek,$5.49 USD,"3 Aug, 2018"
Virtual Earth Online,Virtual Earth Online,Massively Multiplayer,Free,Coming soon
Hive Slayer,King Crow Studios,Free To Play,Free To Play,"27 Oct, 2020"
Coffee Trainer VR,ON Reality lab.,Indie,Free To Play,"20 Sep, 2018"
Professor Watts Memory Match: Cute Animals,Ripknot Systems,Ripknot Systems,$4.99 USD,"7 Aug, 2018"
Professor Watts Memory Match: Yummy Cupcakes,Ripknot Systems,Ripknot Systems,$4.99 USD,"13 Aug, 2018"
Fortified Swiss,Rat Wrath Studios,RPG,$6.99 USD,"23 Nov, 2018"
Songbird Symphony,Joysteak Studios,Indie,$7.49 USD,"25 Jul, 2019"
CRACKPOT DESPOT: TRUMP WARFARE,CRACKPOT DESPOT,Adventure,$2.99 USD,"27 Aug, 2018"
Chicken VR,Reuben Lewis,Reuben Lewis,$1.89 USD,"1 Sep, 2018"
Professor Watts Memory Match: Fresh Fruit,Ripknot Systems,Ripknot Systems,$4.99 USD,"11 Aug, 2018"
killer7: Digital Art Booklet,GRASSHOPPER MANUFACTURE INC.,Adventure,$1.99 USD,"15 Nov, 2018"
Three Kingdoms 2019 阿达三国志2019 横版,阿达游戏,Free To Play,Free,"18 Sep, 2018"
killer7: 2018 Remastered Original Soundtrack,GRASSHOPPER MANUFACTURE INC.,Adventure,$4.90 USD,"15 Nov, 2018"
Color by Number - Pixel Draw,Boogygames Studios,Casual,$2.70 USD,"22 Aug, 2018"
悪梦er-mo,嘟嘟,Casual,Free To Play,"18 Aug, 2018"
VR Model Viewer,MindRend Technologies,Design & Illustration,$1.89 USD,"5 Aug, 2020"
Travel Riddles: Mahjong,Notus Games Ltd,Free To Play,Free To Play,"31 Aug, 2018"
Touch Type Tale - Strategic Typing,Pumpernickel Studio,Strategy,Free,"4 Nov, 2024"
PhotoVidShow,Squidgy soft,Squidgy soft,Free To Play,"29 Aug, 2018"
Hurricane chase(飓风追击),2AM(熬夜工作室),Indie,$1.29 USD,"20 Jul, 2023"
PUZZLE: LANDSCAPES,AFBIK Studio,Casual,$0.90 USD,"8 Aug, 2018"
NEKOPARA OVA Extra,NEKO WORKs,NEKO WORKs,Free,"26 Jul, 2018"
温室之城（Glass City : The Dust）,Intellicentrum,Indie,Free,Coming soon
Bang Bang Fruit 3 - Soundtrack,Snkl Studio,Indie,$0.90 USD,"31 Jul, 2018"
TAL: Arctic 2 - Soundtrack,Snkl Studio,Casual,$0.90 USD,"3 Aug, 2018"
Cortex,RewindApp,Indie,Free,"2 Nov, 2018"
TAVERN GUARDIANS: BANQUET,WOMBO COMBO GAMES INC.,Indie,$2.49 USD,"29 Nov, 2018"
SYNTHETIK - Supporter Pack,Flow Fire Games,Indie,$2.99 USD,"3 Oct, 2018"
Desktop Dynasties: Pro Football,GoldenCrest Games,Indie,$0.90 USD,"8 Mar, 2019"
Euro Truck Simulator 2 - Dutch Paint Jobs Pack,SCS Software,Simulation,$0.90 USD,"26 Jul, 2018"
Vagrus - The Riven Realms,Lost Pilgrims Studio,RPG,$11.99 USD,"5 Oct, 2021"
Skybolt Zack,DEVS MUST DIE,Adventure,$7.29 USD,"7 Nov, 2019"
War Ender Original Soundtrack,Infinite Level,Infinite Level,$1.29 USD,"26 Jul, 2018"
Ativeil,Phoesion,Casual,$3.99 USD,"15 Feb, 2018"
Black Paradox - Soundtrack,Fantastico Studio,Indie,$4.49 USD,"27 Jul, 2018"
Bloodbound,Sketchy Realms,Casual,$6.99 USD,"25 Oct, 2023"
Nightmare Simulator,INDIEPLAY,Adventure,$1.89 USD,"3 Sep, 2018"
夢物語ORIGIN,スタジオムマ,スタジオムマ,$6.99 USD,"21 Mar, 2019"
Glow Chess,13-lab,Indie,$0.90 USD,"7 Aug, 2018"
A Second Chance,Gamebringer,Indie,$4.49 USD,"7 Jan, 2019"
LoveBug,Lizard Hazard Games,Indie,$2.99 USD,"31 Aug, 2018"
Steel Vampire,Akiragoya,Casual,$5.49 USD,"16 Nov, 2018"
Masked Shooters 2 - Assault,FreezeNova,Indie,$0.90 USD,"26 Jul, 2018"
梦本无忧,幻想禁,Casual,$1.89 USD,"18 Sep, 2018"
Cube Escape: Paradox,Rusty Lake,Free To Play,Free To Play,"20 Sep, 2018"
Paradox: A Rusty Lake Film,Rusty Lake,The LAB,Free,"20 Sep, 2018"
Epic Fun,B4T Games,Free To Play,Free To Play,"6 Nov, 2019"
Acid Nimbus,Hernan Caro Vilaburges,Free To Play,Free,"1 Oct, 2018"
Kamikaze Cube 2 OST,"Nikita ""Ghost_RUS""",Indie,Free,"1 Aug, 2018"
Cube Escape: Paradox - Chapter 2,Rusty Lake,Indie,$1.89 USD,"20 Sep, 2018"
"A.D.M(Angels,Demons And Men)",SmartOliveGames,Indie,$0.90 USD,"15 Aug, 2018"
